id	filename	md5	size	state
d8dd67d4-20fc-4e65-8d4d-4ee73e829df7	6264488026_R01C02_Grn.idat	cac45dae64b68f196285d3bf8a2357af	8095272	live
cad127ca-c3c1-45b5-83e0-676c08b4ef74	6264488067_R02C01_Grn.idat	b03bdd1f17d089a5573b79ae2d8d1ace	8095272	live
9e72f224-779e-4eba-95e5-d4dde45e6394	6929671031_R05C02_Red.idat	706b53c7c227d18164172b174e29b9a1	8095268	live
92a277f8-f206-4fda-b008-9a5604a10051	3999510111_R03C02_Grn.idat	97b5ee08b7ff82b63987c48335353d8d	8095272	live
50c88027-ed4e-4924-992d-6c92a6eeb636	6285625095_R01C01_Grn.idat	6b9f048412f608e9560e818ff4e203f5	8095260	live
d071ccb6-bc64-4ec4-bc24-d0f7099c64e9	6264488070_R02C01_Red.idat	edb9c09a45ce4e098b83c03f8d1372a4	8095267	live
57a701a5-692d-4273-b3ec-77b22c1929af	7310440042_R04C01_Grn.idat	da2481099d327dcc7328b34ea5ceefce	8095267	live
a0878daf-821e-410e-b99f-c3c6167dc090	8784241064_R05C02_Red.idat	242a7e3818bb8661ea6e0f8ba672844a	8095338	live
7256eed5-62ac-4cec-b373-f3d7b69586cc	8784241076_R06C01_Red.idat	5317f4f2ad18be7d5f9fa56aa7f59384	8095345	live
3e745dfc-be23-417a-8149-eba6895c10eb	7786923084_R02C02_Grn.idat	eb2b5ba9a2bfff3c3191c168c9bad05a	8095272	live
a45f5f76-38c6-40a2-80ee-342a27be7672	6285625072_R05C01_Grn.idat	187306adc12513d20a77807551e9c93f	8095260	live
7fa5cc7d-4daf-453a-93fd-9d0ef6670ff8	6285633062_R03C01_Red.idat	a7daff80575e6ef61b37075e9894989c	8095228	live
6902feef-204e-4239-bf4b-2e8557fbe510	7310440042_R01C02_Grn.idat	010067690662760eb4bd41244fa7887a	8095268	live
8e9f9709-76da-4c9f-8149-d209a4d54229	6264488067_R01C02_Grn.idat	0b04cb305d48e109198929efc1acf251	8095272	live
70a2ddf0-bf23-43dc-a065-375df32c4938	6285625087_R02C02_Red.idat	08e18d1ec14feebe5dd5dfc80dd16f07	8095259	live
6c1f94bd-a8d6-40ea-b91c-0003ba7f4fe8	6285650110_R01C01_Grn.idat	c2490345a64e3767e42c6199b4b18555	8095254	live
ad71dd5c-8cc6-45cd-9ef1-b2ddebb05ee8	6285650107_R06C01_Red.idat	d2bef5f3947a76e38ca56578734a848d	8095260	live
4501f00c-bd10-4fe3-8905-8e86a79d8b19	6929671163_R01C01_Grn.idat	1db9ae30aaa0ed2ebf0120f209fec553	8095259	live
02501241-60d6-479a-9e6a-c59aba8aa9a6	6264488026_R05C01_Grn.idat	4714cdad50abf60e60e32ca05ab16406	8095272	live
